ID No.	EX1	HW1	EX2	HW2	EX3	HW3	EX4	HW4
015329	88	12	85	15	90	10	88	12
015343	35	15	55	10	60	10	50	5
015347	80	5	65	10	90	10	90	10
015370	60	10	70	20	75	20	90	10
015375	35	0	58	20	74	16	80	20
015386	100	0	85	15	81	19	85	15
015387	43	0	30	10	65	15	45	20
015397	90	10	70	10	75	20	90	10
015409	73	10	40	5	55	10	85	15
015419	40	0	75	5	35	5	30	20
015485	70	10	65	20	90	10	80	20
015501	48	10	50	10	40	0	55	20
015508	55	5	45	10	60	0	70	5
015520	40	0	68	0	100	0	90	0
015527	85	15	65	15	80	20	90	10
015548	73	15	75	15	75	20	80	20
